ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,astrometric_excess_noise,astrometric_gof_al,phot_g_mean_mag,bp_rp,source_id,random_index
272.28617632709074,42.36153321071573,-8.210356406935878,-9.76638609785574,0.061551,0.064376,0.941395363401393,0.05281,17.82601,1.005158,0,0.169957,17.258776,1.478279,2113908106237881856,15167
268.7310897855527,43.0557875362223,-4.5118138505621435,-16.940437324766364,0.015282,0.01705,0.8187289693856202,0.013927,58.788807,1.05079,0,1.380083,14.292891,0.650662,1346177891714400000,24626
271.69865328687445,45.80832320178257,-4.419423466308918,-11.396723384865183,0.061837,0.048997,0.9081745987562558,0.041814,21.719543,0.99596,0,-0.079864,16.71533,1.304767,2116223471567627264,29022
270.4966797561174,47.032387428539224,-1.3761543970016752,-19.556856733557197,0.133481,0.123823,0.8072448566733117,0.100117,8.063023,1.011729,0,0.334927,18.300367,2.014225,2116531678420405248,76478
271.19348185601365,43.28648085560279,4.03137393138097,2.2614338545689403,0.108589,0.130446,0.7536172634216204,0.099174,7.598959,1.037898,0.312446,1.094033,18.336456,1.479612,2114200846913068032,83626
267.53325588774464,47.19677088046222,-0.7091378303083401,-6.14677816694847,0.061601,0.062498,0.4082207495178302,0.048161,8.476106,1.001223,0,0.05785,17.027472,1.020807,1362932043739490816,123122
267.57540203772334,47.90295064193148,0.5849194942444631,-12.656710561665296,0.042282,0.050864,0.6490612844282049,0.0372,17.44809,0.969646,0,-0.807746,16.579077,1.035231,1363200565095062272,124543
269.5044455177532,43.73554480666906,-14.503861643591751,24.29562901902413,0.193278,0.221105,1.5187370566326315,0.170986,8.882229,1.026154,0.505155,0.672175,18.9599,2.207031,1346279562180426240,132938
272.1932737779641,45.75596440483392,-8.345191781066742,-2.2647519227150004,0.139051,0.124086,0.7493381536146205,0.088558,8.461519,0.980306,0,-0.47022,18.043331,1.531685,2116210621025519488,141471
272.0589526805676,43.876100898445365,-1.0849302930466387,-3.5162041485935007,0.046775,0.048148,0.2272706798274953,0.03937,5.772655,1.061119,0.065737,1.598971,16.480562,0.927372,2114136461059231872,150641
270.82698448333,46.32648716127291,-2.1219810404734183,3.5587083674250235,0.033522,0.035998,2.4575579308750255,0.028336,86.729,0.991935,0,-0.188814,15.926989,1.829348,2116436398865711616,177391
