id,ra,dec,pmra,pmdec,pmraerr,pmdecerr,gmag,rmag,imag,ndet,mjd,deltamjd,class_star,flags,random_id
29403_6790,270.10796261289835,44.87947880760588,110.266045,20.443344,87.62061,87.77698,21.578125,21.53737,99.99,5,57747.62938475981,389.01874,0.956445,0,9.902479
27964_407,268.8390778141914,45.588466516762324,-25.108713,66.91664,99.52483,99.5877,21.016624,20.689554,99.99,8,57754.912685638585,735.9643,0.048368,3,9.902662
26564_3405,269.6977072175593,47.17577805693685,64.101326,17.161087,30.296701,30.905558,20.781086,19.088491,99.99,6,57832.089635704644,729.9559,0.025071,2,9.904421
26567_1542,272.3143266495935,46.76621495553207,-104.52852,26.76728,572.14935,569.8797,21.96307,20.765188,99.99,7,57549.25181824288,56.88762,0.903878,0,9.904743
25647_2148,267.1107295280898,47.681500223506234,0.022529,-28.256828,107.387085,107.448875,22.1875,21.574099,99.99,6,57766.561679792205,728.96136,0.273566,0,9.904902
28443_7025,272.2398043421039,45.24782628898006,-8.076989,116.69654,9.990179,13.112474,18.383715,17.024817,99.99,6,57908.18708115009,714.0606,0.985026,0,9.906926
31373_2755,268.6439151526331,43.03983526832629,17.192764,-46.560444,112.21032,112.34978,21.724854,21.168545,99.99,8,57712.282907623565,743.9085,0.034463,0,9.907413
27028_3519,270.7385977467917,46.36851958345426,-43.50248,20.56155,96.53489,96.68724,21.953125,20.894455,99.99,6,57781.37969641263,738.00916,0.03096,0,9.908507
26108_2857,271.85776744435356,47.27955751624555,71.73304,7.141703,168.79735,169.01677,22.28125,99.99,99.99,3,57667.39829715714,378.05093,0.848145,0,9.90988
29890_5374,270.6800861851364,44.174387292948644,53.457603,1.657972,14.426765,16.447945,20.734375,19.49424,99.99,7,57738.41038043551,744.9923,0.942383,0,9.911232
31372_5673,268.3520621996167,43.278889366666895,-11.109999,-5.983539,151.24838,151.3539,21.549057,20.851305,99.99,9,57735.94193307021,743.9085,0.020768,0,9.912166
32388_1704,272.49168911710075,42.04945219676315,31.620287,1.969112,158.31548,158.49066,21.62107,21.069353,99.99,10,57717.193695429945,750.8814,0.051974,0,9.91313
31374_2774,269.41697690487916,42.865160400740464,50.180412,-3.547868,52.714436,52.84038,22.3125,21.17206,99.99,7,57634.14126512129,380.04202,0.970982,0,9.918227
30377_539,267.34547304329357,43.68874175265002,123.50092,-5.287691,101.12237,101.1207,21.474878,20.885672,99.99,9,57650.06371102032,414.79398,0.254683,3,9.918508
32388_6624,272.53183277249923,42.301287803973686,-34.294094,112.921906,28.247808,29.17729,21.329817,20.090988,99.99,9,57736.50672697457,747.89105,0.937392,2,9.920946
27492_6057,268.00978846248944,46.058770324756566,43.743484,91.46601,79.54059,80.085686,21.9375,20.756433,99.99,6,57770.73759883153,728.96375,0.140439,0,9.92189
28919_4766,269.6214389739246,45.11559796974398,83.15542,12.274987,143.08731,143.29666,21.90625,21.112156,99.99,6,57708.262459757505,396.98004,0.025393,0,9.9225
29404_1881,271.46239101916836,44.3290387063944,25.866047,-7.199266,111.41974,111.493065,21.84375,21.828125,99.99,4,57803.880645845435,744.99243,0.655396,0,9.922528
28440_1224,269.666690529938,45.24787194184107,-0.314816,-84.09562,125.99036,126.1714,22.21875,21.765625,99.99,5,57675.22037057234,396.0095,0.5823,0,9.923985
26102_20,267.1622608955118,47.15188468821226,129.84503,229.9352,249.55185,249.95082,21.65625,21.34375,99.99,6,57649.07903454344,382.03793,0.1369,3,9.924729
30879_4859,272.51333666767823,43.51694334001189,-230.7058,-209.8403,340.66415,353.19412,20.273897,19.55541,99.99,6,57537.23218582998,61.9014,0.982829,0,9.926394
28920_2423,270.06095674779,45.15479892370653,-60.715076,-19.104216,26.197393,27.053015,21.27407,19.912521,99.99,8,57711.79885171208,396.9848,0.960999,2,9.927199
26565_4893,270.14734439068087,47.12919355772022,-56.63643,16.364428,76.892,77.13691,21.84375,20.71149,99.99,6,57769.420986998906,738.0064,0.033976,0,9.928381
30379_1425,268.8560404604262,43.620917252672236,-26.27909,47.50682,35.090195,35.504498,20.060968,18.786192,99.99,9,57697.51590465583,414.79483,0.031631,2,9.928895
30877_2766,270.9374866127451,43.5683180168076,-133.88058,-107.09255,149.88701,150.01149,21.882523,21.36268,99.99,7,57640.703177798205,398.00266,0.204718,0,9.930594
31377_3026,271.67556358518124,42.99297439367579,0.539608,12.098491,100.40981,100.39994,21.9375,20.683268,99.99,6,57716.270750943804,384.04572,0.06724,0,9.932555
31877_320,269.566883195877,42.368022566378265,24.46713,308.72586,369.2963,369.37125,21.984375,20.76894,99.99,6,57646.06460297317,421.78503,0.005323,0,9.93293
29886_984,267.17134167140114,44.094045409275296,-8.936798,31.953863,89.877625,91.67805,21.59002,20.289013,99.99,8,57622.25188310526,414.77243,0.948547,3,9.933091
27969_2539,272.6078408999113,45.74097524656942,143.80832,36.375687,19.41289,19.004232,18.4375,17.485065,99.99,6,57598.08508427333,404.02573,0.028943,2,9.93321
26562_1286,267.71571097600383,46.89363086805642,1.492358,24.605038,96.16108,96.235176,22.1875,21.192837,99.99,7,57735.97899612818,729.964,0.317215,0,9.934128
29888_958,268.80914169196075,44.19171431782622,45.66441,6.685785,209.75078,209.87912,21.533821,21.016357,99.99,8,57713.89834601176,413.80313,0.041215,3,9.934669
28918_1994,268.64944264076394,45.036864273347696,-36.100636,7.632927,92.35061,92.699646,21.673527,20.685898,99.99,8,57622.287399170105,396.9844,0.968872,0,9.934999
28440_4479,269.8801730855893,45.48649934302712,-78.59118,46.875572,153.51816,154.01643,21.875,21.312286,99.99,6,57821.115653725494,365.09756,0.883626,0,9.935921
32384_3827,269.54033856999837,42.31224171543773,46.09264,21.975237,24.618437,26.813921,21.851816,20.448519,99.99,8,57708.53469990939,421.78503,0.912872,0,9.936112
27024_2414,267.42330252475836,46.49391135461314,-34.862083,-32.50412,109.82315,109.86702,20.398552,20.159933,99.99,10,57749.009960135954,729.9682,0.014372,0,9.936373
29406_4376,272.33074391509655,44.94293119959629,-18.2637,115.23893,26.984997,27.441313,21.319328,20.29287,99.99,8,57718.63960781298,743.9896,0.637009,0,9.939404
29402_2510,269.7304064467155,44.5602914940397,-85.1348,-5.775658,21.222923,23.590694,20.640625,19.35812,99.99,8,57667.04000545776,397.0077,0.677917,2,9.939553
27968_139,271.6140483217274,45.76010984542338,-39.629757,214.40263,122.33486,122.606834,21.964869,21.369265,99.99,8,57759.778982831864,743.98816,0.028724,3,9.939955
29406_793,272.76082263645395,44.32233924484522,-42.496655,84.30781,277.6241,277.5831,22.421875,99.99,99.99,4,57627.17278825864,393.03485,0.589355,0,9.94049
31372_5302,268.4314451125051,43.17824030471848,21.008738,62.79789,44.634953,45.7718,22.078125,20.426405,99.99,7,57634.8454912241,381.0067,0.071324,0,9.941298
25648_4220,268.0646963717387,47.63018747919748,77.20939,10.794367,80.95285,80.8891,21.522968,21.282896,99.99,7,57737.976365767754,725.96075,0.917062,0,9.941317
27968_3386,271.7853922753388,45.949682910158785,14.220704,106.34663,21.983862,24.182844,17.109375,16.078125,99.99,3,57654.747621242735,395.9848,0.994954,3,9.943111
28437_4989,267.7211229718576,45.41529548428164,88.296104,43.047012,14.988998,15.230762,19.61216,18.152628,99.99,7,57735.5572162985,735.96533,0.95445,3,9.94313
30383_6171,272.1152174150616,43.64812878459733,-19.044456,-9.747256,167.83333,167.90999,21.360565,20.761757,99.99,9,57783.84920808435,739.0052,0.031401,3,9.943469
31372_1447,268.1017285325839,42.9626600938224,22.843292,-143.52213,151.98099,152.12514,21.926847,20.850903,99.99,9,57650.05870524483,421.7888,0.083489,2,9.943878
28923_7142,272.948567893085,44.68829775221922,-248.37003,99.26468,512.37396,512.34283,21.78125,20.953125,99.99,3,57660.35047123892,412.82074,0.232278,3,9.947289
30877_7182,270.94374572462766,43.405636887888924,-1235.554,89.50538,3489.0203,3491.1665,21.859375,99.99,99.99,3,57533.729900888015,62.901173,0.174075,3,9.947857
30377_1441,267.1338048837336,43.56913889908223,22.94499,-16.264118,199.9282,199.99257,21.856768,21.280848,99.99,9,57649.73057620553,414.79398,0.165166,0,9.947895
31377_5517,271.44888254061055,43.22377477022837,13.606892,50.706238,14.729678,15.636969,17.825903,17.012571,99.99,8,57812.01750309806,714.98096,0.028904,2,9.950821
27967_4195,270.8696632668191,45.796043308822846,110.44458,-0.390649,19.601938,20.352943,15.953125,15.652663,99.99,7,57640.7011348369,390.0187,0.028621,2,9.951376
28438_3472,268.2216328467393,45.40117747334888,35.464897,-88.66057,34.35495,34.920906,21.164915,19.640625,99.99,7,57732.56240110339,735.9609,0.058631,3,9.951918
32387_7374,271.64374997831646,42.087838939113574,19.481867,-17.301615,337.18457,337.37915,21.50646,21.11624,99.99,6,57784.19726290748,714.9848,0.001193,0,9.954561
30382_2815,271.3855501301012,43.56520826816956,1.534322,-15.592177,112.15702,112.241035,21.838903,21.354189,99.99,9,57697.86662248775,745.9824,0.077458,3,9.95556
27963_6131,268.24601861515913,45.996382493359846,36.45925,-45.536053,214.71758,214.95323,21.976154,21.513824,99.99,5,57753.58220518576,728.96375,0.165279,3,9.957921
27493_3471,269.1959498657897,46.21646916500237,-60.157276,0.09849,181.35631,181.76353,21.59375,21.022253,99.99,6,57599.88564511435,374.0466,0.015123,0,9.960329
25654_4221,272.9729152233642,47.75099265822605,1530.6647,-1803.2728,2120.4702,2121.4702,21.277958,20.681028,99.99,8,57549.76588908909,50.906498,0.018167,0,9.961832
31880_3033,271.86937797559716,42.639787251079994,192.08652,86.57448,183.3578,183.41234,20.85653,20.47571,99.99,9,57736.169163759536,747.89087,0.026966,0,9.962388
28443_5406,272.220537293781,45.150063684732714,-21.385736,69.47665,20.590801,21.566566,21.53125,20.089348,99.99,6,57777.234146491624,743.9896,0.955811,3,9.962973
28437_3106,267.42456590968965,45.23290487373401,-145.83543,189.81526,210.35541,210.43607,21.109375,99.99,99.99,4,57615.1623732181,376.04614,0.267242,2,9.963592
32388_6709,272.5111554244879,42.2804111356049,-29.912558,35.48008,185.03893,185.1142,21.5754,21.071243,99.99,8,57671.7774058932,418.8037,0.05292,3,9.964231
27497_6565,272.11738826394367,46.054547149482566,-11.920752,-87.05073,95.40432,95.54867,22.234375,21.543753,99.99,6,57723.08671007189,734.9997,0.819133,0,9.965842
30873_3346,268.2191009752668,43.26516964789539,27.127428,352.08685,43.741642,44.497623,22.142664,20.695433,99.99,8,57668.63561485289,414.80164,0.806076,2,9.965911
27497_3356,272.12984154399396,46.123532283938914,-10.069723,13.186309,125.75064,125.88016,22.171875,21.174007,99.99,7,57693.850005789194,737.996,0.032279,0,9.967271
31378_4038,272.72735254033665,43.078226302034,-12.626936,51.449947,80.55545,80.68473,21.566904,21.366022,99.99,8,57676.025417468685,747.89575,0.719147,3,9.968424
28920_2034,270.1453380840707,45.05072114620847,-88.181,0.174249,142.73692,142.76616,22.015625,21.765625,99.99,5,57674.43051989404,396.9848,0.718457,0,9.968614
29886_3896,267.5798325827047,44.37255531865018,-77.64422,71.89143,85.980705,86.51707,20.671875,20.515625,99.99,5,57589.434732248264,378.0189,0.811816,3,9.968919
27967_3322,270.9928096191886,45.91412942079647,13.38757,-10.533534,98.881966,99.48068,22.265625,21.778181,99.99,6,57717.717861817684,743.96466,0.798218,0,9.968942
28918_1779,268.7073288799058,44.96116009894829,35.443417,60.12926,104.10225,104.36712,21.578125,21.40821,99.99,6,57649.58085333385,396.9844,0.964762,0,9.969294
30872_851,267.44976672879864,43.26266565096104,106.58456,-4.834979,35.044685,34.358643,21.610891,20.193008,99.99,8,57700.02852319204,421.7805,0.266926,3,9.96958
28437_1266,267.1756440297836,45.363855537787494,77.171814,-237.84268,36.658974,36.690655,19.733347,18.798584,99.99,10,57671.7151559161,735.9629,0.028925,3,9.970869
31373_784,268.6131810416034,42.78340145291162,-11.84743,-99.94906,152.32439,152.38417,21.94975,20.849747,99.99,9,57658.17979513942,756.8746,0.053149,0,9.971025
30873_4914,268.05941451970835,43.46706207908736,-64.55565,-3.377866,50.58118,51.036274,22.015625,20.540575,99.99,7,57631.98013547835,381.00128,0.149187,0,9.972486
32386_1372,271.0491063544207,42.39365825472716,346.52377,-136.91626,601.716,601.75305,21.03125,20.90625,99.99,4,57703.89888819493,421.78854,0.277685,0,9.972953
31876_6408,268.6257121341274,42.55012395645167,-7.653855,66.5884,296.0304,296.0562,21.131475,20.344654,99.99,4,57725.84677910351,716.0248,0.0056,2,9.973116
25648_4283,268.03675121204805,47.647791706929006,-31.103542,41.7816,53.946133,54.105022,21.467093,20.952951,99.99,8,57757.1563990399,725.96075,0.975952,0,9.973381
28923_2604,272.70240068643363,44.96883494926003,-62.83401,-60.36511,158.7642,158.8495,22.03125,21.789555,99.99,6,57717.74138103441,743.9939,0.051227,0,9.973824
26103_3090,267.73291688150874,47.1960166789752,0.876003,-41.317047,113.70346,113.69382,19.213818,18.875229,99.99,8,57757.03746382723,726.9733,0.002984,3,9.974076
27494_5259,269.84127725320536,46.42039399410503,77.222046,-58.96829,182.30742,182.46394,21.391882,20.72549,99.99,7,57737.97246043384,729.964,0.009304,0,9.974358
29403_548,270.30845472305907,44.54132300909233,73.54438,-17.136095,89.82486,89.90334,21.515625,21.25149,99.99,7,57683.99558405638,397.00803,0.910575,0,9.975192
27498_3760,272.6652549336747,46.00570500873245,1.839487,54.194237,45.141884,45.71634,20.875,20.271013,99.99,6,57780.41410255642,737.9933,0.055,0,9.975632
31881_3626,272.69678040822293,42.65407473910001,-48.872192,-18.86866,8.203452,9.145835,17.29163,16.99005,99.99,8,57764.51929589757,747.8972,0.991882,3,9.976592
